No,曲名,アーティスト,候補日,投稿日,ステータス,管理団体,YouTube可否,YouTube_リスク,YouTube_URL,TikTok可否,TikTok_リスク,TikTok_URL,X可否,X_リスク,X_URL,データ確認状況,インスト状況,インスト_DriveURL,インスト規約URL,自動判定,自動判定日,最終判定,最終判定日,備考
24,カーテンコール,優里,,2026-04-11,投稿済み,JASRAC,不明,不明,https://www.youtube.com/watch?v=jpiSvrVxceQ,不明,不明,,不明,不明,,未確認,未調査,,,,,,,Sony Music/アリオラジャパン
23,僕らまた,SG,,2026-03-11,投稿済み,両方,不明,不明,https://www.youtube.com/watch?v=ZYFkqmtawHo,不明,不明,,不明,不明,,未確認,未調査,,,,,,,Piano Ver. / JOYSOUNDに登録確認
22,彷ぐ,とた,,2026-02-11,投稿済み,不明,不明,不明,https://www.youtube.com/watch?v=YVgJQSj_yBg,不明,不明,,不明,不明,,未確認,未調査,,,,,,,実写MV / カラオケ未登録・個別確認が必要
21,らしさ,Official髭男dism,,2026-01-11,投稿済み,NexTone,不明,不明,https://www.youtube.com/watch?v=pVqJ_lDcE-A,不明,不明,,不明,不明,,未確認,未調査,,,,,,,確認済み
20,夜撫でるメノウ,Ayase,,2025-12-11,投稿済み,JASRAC,不明,不明,https://www.youtube.com/watch?v=tGF-g3wJ7cA,不明,不明,,不明,不明,,未確認,未調査,,,,,,,YOASOBI/JASRAC受賞確認
19,プロポーズ,なとり,,2025-11-11,投稿済み,両方,不明,不明,https://www.youtube.com/watch?v=DR-Xc114ThA,不明,不明,,不明,不明,,未確認,未調査,,,,,,,JOYSOUNDに52曲・1位
18,ヴァンパイア,DECO*27,,2025-10-11,投稿済み,両方,不明,不明,https://www.youtube.com/watch?v=LwMJbkUabFY,不明,不明,,不明,不明,,未確認,未調査,,,,,,,JASRAC:9013388002 / NexTone:ID000007132
17,怪獣の花唄,Vaundy,,2025-09-11,投稿済み,JASRAC,不明,不明,https://www.youtube.com/watch?v=-ehNEQA7Jrc,不明,不明,,不明,不明,,未確認,未調査,,,,,,,Sony Music/アリオラジャパン
16,オレンジ,SPYAIR,,2025-08-11,投稿済み,JASRAC,不明,不明,https://www.youtube.com/watch?v=qqKrdDiHlvw,不明,不明,,不明,不明,,未確認,未調査,,,,,,,Sony Music
15,青のすみか,キタニタツヤ,,2025-07-11,投稿済み,JASRAC,不明,不明,https://www.youtube.com/watch?v=maFfx1IW-Ok,不明,不明,,不明,不明,,未確認,未調査,,,,,,,Sony Music/MASTERSIX FOUNDATION
14,雨とペトラ,バルーン,,2025-06-11,投稿済み,両方,不明,不明,https://www.youtube.com/watch?v=CJlsmbJQ9es,不明,不明,,不明,不明,,未確認,未調査,,,,,,,確認済み
13,ダーリン,Mrs. GREEN APPLE,,2025-05-11,投稿済み,JASRAC,不明,不明,https://www.youtube.com/watch?v=SbqZoc44NTo,不明,不明,,不明,不明,,未確認,未調査,,,,,,,実写MV / Universal Music/EMI Records
12,春を告げる,yama,,2025-04-11,投稿済み,JASRAC,不明,不明,https://www.youtube.com/watch?v=n_Q4FTglnFA,不明,不明,,不明,不明,,未確認,未調査,,,,,,,Sony Music/Epic Records
11,絶え間なく藍色,獅子志司,,2025-03-11,投稿済み,両方,不明,不明,https://www.youtube.com/watch?v=3Ll5p6LD3qU,不明,不明,,不明,不明,,未確認,未調査,,,,,,,JOYSOUND ID:788244 / KAMITSUBAKI STUDIO
10,IN_MY_HEAD,なとり,,2025-02-11,投稿済み,両方,不明,不明,https://www.youtube.com/watch?v=j88L4G0xwuY,不明,不明,,不明,不明,,未確認,未調査,,,,,,,JOYSOUNDに52曲・6位
9,ACTOR,友成空,,2025-01-11,投稿済み,両方,不明,不明,https://www.youtube.com/watch?v=ecQjjKpu5Ok,不明,不明,,不明,不明,,未確認,未調査,,,,,,,JOYSOUNDに18曲
